timestamp,S↦S,Spike,K↦S,S↦K,Spike_deg,K↦Spike,K,S,S↦G,K_deg,S_deg,K↦K,G_deg,K_inact,K↦G,K↦K_inact,S↦S_inact,G,S_inact,S↦K_inact,S↦Spike,K↦S_inact
28.0,0.14327569239480734,45262.95574451881,4.966789618489093e-5,0.0042565014944491615,13950.198058554992,991.1618252152977,1.758645411265899,13160.437191175719,947.005679827412,32006.18995074722,101.83661778866846,0.046676476753633865,33174.195416327464,2.5633239746636744e-9,0.7918704685173552,7.723585295435215e-10,0.0556989869350591,679878.0070333609,12994.63383492124,6.204106692801525e-12,5795.68437171844,4.904202707358413e-5
29.0,0.13876569932111696,44992.155011445895,4.9075896535495176e-5,0.0042057591327835505,14349.486641386577,989.3012403682202,1.7656861170066394,12951.669169614135,931.1878934682883,32008.074016346043,104.9637827066381,0.0307261765440296,33820.84541618151,2.597260284309114e-9,0.7932994310483416,5.564780284671882e-10,0.05628418303300208,679247.173390903,13342.727642257092,6.1865536528868606e-12,5669.0571068058125,5.0556996053054735e-5
30.0,0.13438081627697962,44727.132511397394,4.864860272853938e-5,0.004169135099042395,14740.096946814447,987.4444799172828,1.7786333791712865,12745.389734263827,915.5884292630357,32009.932853102262,108.0670616967848,0.021010461160854865,34456.728861487274,2.6461902729581915e-9,0.7977426683772809,4.0184210916751666e-10,0.05680960960563165,678626.8849665644,13685.242062022226,6.2027427507870044e-12,5545.326061878152,5.223473704827153e-5
31.0,0.13011782402354932,44467.75213882037,4.832336148269963e-5,0.004141258973253578,15122.22859319206,985.5920814868092,1.7954477466539251,12541.59659444617,900.2054192241694,32011.773859868972,111.14573239438558,0.015110289615555944,35082.00330410227,2.705732444470759e-9,0.8041467170393978,2.9106952792713857e-10,0.05727792276133502,678016.9871299409,14022.246032296847,6.240909822598039e-12,5424.427186507946,5.4026898529621645e-5
32.0,0.12597368175973986,44213.885088837924,4.806190995457281e-5,0.0041188507641515834,15496.072979635406,983.744387593584,1.8148564273651226,12340.287566267925,885.0372021823508,32013.60155317242,114.1991321803517,0.011562550338327537,35696.819495006705,2.7731000981667286e-9,0.8118548993618898,2.118807571789513e-10,0.057691615410191646,677417.331447898,14353.80700201829,6.293681218805487e-12,5306.297543940873,5.5901906829755404e-5
33.0,0.12194732535483813,43965.40225320216,4.783927793587381e-5,0.004099770283428164,15861.823144755366,981.901629157207,1.836033027685016,12141.459553782504,870.0821945398478,32015.418801766893,117.22662245555553,0.009445002161288372,36301.33020860452,2.8464593791772773e-9,0.8204406029895581,1.552075187904256e-10,0.0580518370612243,676827.7671562396,14679.994452553441,6.35607244763544e-12,5190.872972892344,5.783947720509391e-5
34.0,0.11803409426566792,43722.183737149986,4.7641188445360316e-5,0.004082793380354913,16219.660742357388,980.0639549998824,1.8584734200372182,11945.109803892055,855.3388611009772,32017.22730932717,120.22763412299608,0.008213688141965306,36895.680528222365,2.924682552147769e-9,0.8296446245863827,1.1478548709713352e-10,0.058362101057863755,676248.150966041,15000.875152723245,6.425218083313291e-12,5078.091565499256,5.982566938601012e-5
35.0,0.11423314429977652,43484.107016002636,4.745760915340115e-5,0.00406706037872439,16569.770965930107,978.231471998588,1.8818481133136333,11751.233636966892,840.805675057053,32019.028164748368,123.20161421210585,0.0075210798343291075,37480.02016551951,3.0070407585500993e-9,0.8392966179266352,8.593163577405038e-11,0.058623345103490196,675678.3348627908,15316.518638340467,6.4989825576946975e-12,4967.890546083058,6.185254170710526e-5
36.0,0.11054235116967184,43251.05720897667,4.7282679131911974e-5,0.004052068942617108,16912.328423432722,976.4042537736707,1.9059578591476876,11559.82588649303,826.4811342053874,32020.822005542435,126.14807095087178,0.007162932175869167,38054.49224787244,3.0931070025572377e-9,0.8492937018078303,6.541735266383763e-11,0.05883731757931011,675118.1773242092,15626.991871896975,6.576095562305209e-12,4860.210113825794,6.391496635897099e-5
37.0,0.10695818151739328,43022.92199123514,4.711305669271957e-5,0.004037532433029451,17247.504724567498,974.5823563475097,1.930674559267877,11370.88075473353,812.3636807233114,32022.609224448166,129.0665494837296,0.007011902302415173,38619.23948307157,3.182624960344877e-9,0.859570194015091,5.089601325423467e-11,0.0590066633366725,674567.5372659973,15932.362006850284,6.6558410735432245e-12,4754.990927856459,6.600896722602616e-5
38.0,0.1034776091952732,42799.59033390493,4.694662761004006e-5,0.0040232695225477545,17575.46955268268,972.7658245732422,1.9559174832865238,11184.391201664277,798.4517134374598,32024.39005676726,131.95662727559775,0.0069891053889230585,39174.40514481908,3.2754579053749224e-9,0.8700846250422207,4.0665092751038467e-11,0.05913365044485746,674026.2730571085,16232.696807907243,6.7377551028020894e-12,4652.174288850825,6.813207343885805e-5
39.0,0.10009954796043417,42580.95350125922,4.6781557712887975e-5,0.004009123209295239,17896.388375089595,970.9546956813698,1.9816392181075582,11000.34854137588,784.7436330118845,32026.164633709344,134.81791778462684,0.00704675695800673,39720.131168252476,3.371558352731473e-9,0.8808116964787077,3.351315148085951e-11,0.059219236147093325,673494.2443870148,16528.063716080713,6.821386869753456e-12,4551.703427979906,7.028381338222682e-5
40.0,0.09682162492645431,42366.90626859941,4.661694709931416e-5,0.003995016350116652,18210.421942486926,969.1490021854896,2.0078106683688253,10818.743515168348,771.2377819525487,32027.9330253214,137.65007315454113,0.007155821204829424,40256.557618620514,3.470927752104604e-9,0.8917360931478614,2.8577703677000623e-11,0.0592651904865903,672971.3128633217,16818.529555263984,6.906522496841057e-12,4453.522786737287,7.246354648888178e-5
